Ticker,Return_3Y_CAGR,Volatility,Momentum_6M,Yahoo_Ticker,Company,Sector,IADI_Profile
ABB.NS,0.559445148355268,0.30926999114350423,0.09089105700209332,ABB.NS,ABB India Ltd.,Capital Goods,A1
ABCAPITAL.NS,0.23147387549088205,0.35820464073117925,-0.08193106815732754,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,A1
ABFRL.NS,0.10344471798040744,0.3506647099105011,0.07393179870793287,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,A1
ACC.NS,0.1078905744045866,0.2908457955920816,0.23374989664582158,ACC.NS,ACC Ltd.,Construction Materials,B2
ADANIENT.NS,0.796760641220039,0.5606295661872244,0.24104801793682684,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,A1
ADANIGREEN.NS,0.1442546887863403,0.5365660428472087,0.6490267746091989,ADANIGREEN.NS,Adani Green Energy Ltd.,Power,A1
ADANIPORTS.NS,0.2668222943367127,0.40973593642677136,0.41406673255497495,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,A1
ADANIPOWER.NS,1.18778251197342,0.568237843590604,1.0955706768703677,ADANIPOWER.NS,Adani Power Ltd.,Power,A1
ALKEM.NS,0.20808087650925722,0.22376693443065118,0.5295017191404527,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,B2
AMBUJACEM.NS,0.27579262499634405,0.3518139638192207,0.20564758507450587,AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,A1
APLAPOLLO.NS,0.5290322383270425,0.39485835765289046,0.17317462965154573,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,A1
APOLLOHOSP.NS,0.3317794841067194,0.3213495534725993,0.13245116121350864,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,A1
APOLLOTYRE.NS,0.36152046387402414,0.34873922119518425,0.1245820131095201,APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components,A1
ASHOKLEY.NS,0.2236039517642725,0.3240684776231342,0.10532726363322875,ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,A1
ASIANPAINT.NS,0.07023405153024065,0.24028609777468082,0.028490244632876527,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,A1
ASTRAL.NS,0.2475960827471395,0.3281786435079461,-0.018093325385913017,ASTRAL.NS,Astral Ltd.,Capital Goods,A1
ATGL.NS,0.37892728025897204,0.5998190690200197,0.5340838698866945,ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,A1
AUBANK.NS,0.21622678931983885,0.374525286994408,0.05634558441692428,AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,A1
AUROPHARMA.NS,0.053253165522325174,0.3081499610293176,0.5027379728120036,AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,A1
AXISBANK.NS,0.20897732330716257,0.26463557591450976,0.14757176912869663,AXISBANK.NS,Axis Bank Ltd.,Financial Services,B2
BAJAJ-AUTO.NS,0.24987335640953012,0.23502145602201893,0.4754498999515735,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,B2
BAJAJFINSV.NS,0.23866387765218722,0.30680080065998233,0.11823819722506745,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,A1
BAJAJHLDNG.NS,0.35001886085886147,0.2851955220550809,0.10251402063730075,BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,B2
BAJFINANCE.NS,0.11542779437377204,0.3023578163146222,0.04701591656514048,BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,A1
BANDHANBNK.NS,-0.15507131904540883,0.3604966349563922,0.020503025923298557,BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services,A1
BANKBARODA.NS,0.5301948903863569,0.39191004017432735,0.2115334527051933,BANKBARODA.NS,Bank of Baroda,Financial Services,A1
BANKINDIA.NS,0.30945067748659194,0.4514613901258297,0.5870331686731778,BANKINDIA.NS,Bank of India,Financial Services,A1
BDL.NS,0.7007070042916173,0.4147873458312563,0.5660782306124068,BDL.NS,Bharat Dynamics Ltd.,Capital Goods,A1
BEL.NS,0.6351387353352294,0.3164850726354197,0.5172981435999091,BEL.NS,Bharat Electronics Ltd.,Capital Goods,A1
BHARATFORG.NS,0.3202620577615167,0.30567370756818635,0.5188887454029927,BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,A1
BHARTIARTL.NS,0.2685360119294262,0.2324255800330055,0.21157337447286917,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,B2
BHEL.NS,0.7101232164925189,0.4623359270307159,1.3096658234274114,BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,A1
BIOCON.NS,-0.18768170956198194,0.2932731518387032,0.04042507635594794,BIOCON.NS,Biocon Ltd.,Healthcare,A1
BOSCHLTD.NS,0.19577669761412508,0.2597207597801869,0.19449766061895324,BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,B2
BPCL.NS,0.05668192921677395,0.262776573449159,0.25774493231877216,BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,B2
